timestamp,product,price,rsi,ema9,ema21,atr,atrPct,bbLower,bbUpper,trend,ofi,arbSpread,socialScore,btcPrice,btcRsi,action,confidence,outcome_5m,outcome_15m,outcome_1h
1789922976817,DOGE,0.08745000,83.60,0.09000000,0.09000000,0.00000000,0.5000,0.08000000,0.09000000,UPTREND,0.0000,0.0041,0.4460,81285.57,75.18,SELL,0.7200,-0.1601,0.3431,
1789922976945,ENA,0.22069000,78.30,0.21000000,0.21000000,0.00000000,1.7200,0.19000000,0.22000000,UPTREND,0.0000,-0.0343,0.4460,81285.57,75.18,SELL,0.8700,0.5936,1.0195,2.9091
1789922976972,LINK,12.54400000,86.80,12.40000000,12.27000000,0.08000000,0.6300,11.88000000,12.57000000,UPTREND,0.0000,0.0395,0.4460,81285.57,75.18,HOLD,0.5000,0.1913,-0.3189,-0.6617
1789923005953,BTC,81250.00000000,73.00,81056.66000000,80818.76000000,217.27000000,0.2700,80095.20000000,81366.83000000,UPTREND,0.0000,-0.0112,0.6940,81285.57,75.18,HOLD,0.5000,0.0254,0.0868,0.0504
1789923005990,ETH,2634.25000000,74.70,2619.10000000,2602.80000000,12.63000000,0.4800,2551.74000000,2640.43000000,UPTREND,0.0000,-0.0068,0.5060,81285.57,75.18,HOLD,0.5000,0.1386,0.3610,-0.1818
1789923006131,ZEC,1449.79000000,55.60,1446.59000000,1444.76000000,11.19000000,0.7700,1431.76000000,1456.45000000,UPTREND,0.0000,-0.0170,0.4520,81285.57,75.18,HOLD,0.5000,-0.2276,-0.0290,0.2828
1789923006163,XRP,1.40840000,76.30,1.40000000,1.39000000,0.01000000,0.5100,1.36000000,1.41000000,UPTREND,0.0000,0.0000,0.5620,81285.57,75.18,HOLD,0.5000,-0.0071,0.2201,-0.2698
1789923006194,SOL,110.04000000,72.30,109.34000000,108.84000000,0.51000000,0.4600,107.15000000,110.04000000,UPTREND,0.0000,-0.0153,0.4680,81285.57,75.18,HOLD,0.5000,0.0545,0.2090,0.0273
1789923006224,NEAR,4.21220000,79.50,4.05000000,3.87000000,0.09000000,2.2400,3.38000000,4.26000000,UPTREND,0.0000,0.1106,0.4360,81285.57,75.18,HOLD,0.5000,0.8950,1.1870,-3.4186
1789923006359,AVAX,11.21400000,70.70,11.14000000,10.86000000,0.26000000,2.3100,10.15000000,11.57000000,UPTREND,0.0000,0.0076,0.4460,81285.57,75.18,SELL,0.8900,1.4179,1.0166,-1.5427
1789923006595,SUI,0.90600000,85.70,0.87000000,0.85000000,0.01000000,1.4800,0.78000000,0.90000000,UPTREND,0.0000,-0.0254,0.4460,81285.57,75.18,SELL,0.8700,-0.2208,0.9713,-0.8720
1789923006624,HYPE,93.04000000,76.40,92.40000000,91.81000000,0.44000000,0.4800,89.93000000,93.17000000,UPTREND,0.0000,-0.0179,0.8240,81285.57,75.18,HOLD,0.5000,0.1290,0.0752,-0.2042
1789923006656,HBAR,0.08727000,59.00,0.09000000,0.09000000,0.00000000,2.2700,0.08000000,0.09000000,UPTREND,0.0000,0.0343,0.4460,81285.57,75.18,HOLD,0.5000,0.2750,0.5271,-0.4354
1789923006687,VVV,28.05490000,44.70,28.43000000,28.55000000,0.62000000,2.2100,27.69000000,29.86000000,DOWNTREND,0.0000,0.0002,0.4460,81285.57,75.18,HOLD,0.5000,0.2189,0.2007,0.8719
1789923006719,UNI,8.74800000,55.10,8.73000000,8.70000000,0.09000000,1.0800,8.50000000,8.81000000,UPTREND,0.0000,-0.0530,0.4460,81285.57,75.18,HOLD,0.5000,0.7099,0.3761,0.3647
1789923006853,DOGE,0.08737000,82.20,0.09000000,0.09000000,0.00000000,0.5000,0.08000000,0.09000000,UPTREND,0.0000,0.0167,0.4460,81285.57,75.18,SELL,0.7200,-0.0572,0.4693,
1789923006973,ENA,0.22070000,78.60,0.21000000,0.21000000,0.00000000,1.7200,0.19000000,0.22000000,UPTREND,0.0000,0.1363,0.4460,81285.57,75.18,SELL,0.8700,0.9017,0.5573,2.8364
1789923007001,LINK,12.56100000,87.90,12.41000000,12.27000000,0.08000000,0.6400,11.87000000,12.58000000,UPTREND,0.0000,0.0253,0.4460,81285.57,75.18,HOLD,0.5000,-0.0239,-0.4538,-0.7722
1789923036340,BTC,81217.57000000,71.10,81044.98000000,80813.13000000,217.27000000,0.2700,80102.33000000,81353.22000000,UPTREND,0.0000,-0.0220,0.6940,81234.88,72.12,HOLD,0.5000,0.0541,0.1536,0.1163
1789923036371,ETH,2632.86000000,73.50,2618.63000000,2602.57000000,12.63000000,0.4800,2552.06000000,2639.85000000,UPTREND,0.0000,-0.0102,0.5060,81234.88,72.12,HOLD,0.5000,0.1458,0.4698,-0.0475
1789923036531,ZEC,1448.69000000,54.40,1446.17000000,1444.56000000,11.19000000,0.7700,1431.84000000,1456.14000000,UPTREND,0.0000,-0.0496,0.4520,81234.88,72.12,HOLD,0.5000,-0.2506,0.1049,0.3113
1789923036565,XRP,1.40610000,72.40,1.40000000,1.39000000,0.01000000,0.5200,1.36000000,1.41000000,UPTREND,0.0000,-0.0257,0.5620,81234.88,72.12,HOLD,0.5000,0.0711,0.3627,-0.0640
1789923036595,SOL,109.98000000,70.90,109.32000000,108.83000000,0.51000000,0.4600,107.17000000,110.01000000,UPTREND,0.0000,-0.0277,0.4680,81234.88,72.12,HOLD,0.5000,0.0546,0.2637,0.1182
1789923036627,NEAR,4.24560000,82.30,4.06000000,3.88000000,0.09000000,2.2200,3.38000000,4.27000000,UPTREND,0.0000,0.1334,0.4360,81234.88,72.12,HOLD,0.5000,0.1484,0.0377,-4.1996
1789923036775,AVAX,11.22400000,71.20,11.15000000,10.86000000,0.26000000,2.3100,10.14000000,11.58000000,UPTREND,0.0000,0.0028,0.4460,81234.88,72.12,SELL,0.8900,0.9979,0.8642,-1.2562
1789923037021,SUI,0.90000000,80.40,0.87000000,0.85000000,0.01000000,1.5100,0.78000000,0.90000000,UPTREND,0.0000,-0.0279,0.4460,81234.88,72.12,SELL,0.8700,0.3333,1.2889,-0.0444
1789923037045,HYPE,92.93000000,73.60,92.37000000,91.80000000,0.44000000,0.4800,89.95000000,93.13000000,UPTREND,0.0000,-0.0185,0.8240,81234.88,72.12,HOLD,0.5000,0.2045,0.1291,-0.1829
1789923037076,HBAR,0.08697000,57.70,0.09000000,0.09000000,0.00000000,2.2800,0.08000000,0.09000000,UPTREND,0.0000,0.0230,0.4460,81234.88,72.12,HOLD,0.5000,0.5519,0.8739,0.0920
1789923037106,VVV,28.03590000,44.50,28.42000000,28.54000000,0.62000000,2.2100,27.69000000,29.87000000,DOWNTREND,0.0000,-0.0119,0.4460,81234.88,72.12,HOLD,0.5000,0.7547,0.2686,1.1203
